Date,Close/Last,Volume,Open,High,Low
2/11/2020,$774.38 ,11697470,$768.79 ,$783.51 ,$758 
2/10/2020,$771.28 ,24689160,$800 ,$819.99 ,$752.40 
2/7/2020,$748.07 ,17063520,$730.55 ,$769.75 ,$730 
2/6/2020,$748.96 ,39880750,$699.92 ,$795.83 ,$687 
2/5/2020,$734.70 ,48423840,$823.26 ,$845.98 ,$704.11 
2/4/2020,$887.06 ,60938760,$882.96 ,$968.99 ,$833.88 
2/3/2020,$780 ,47233500,$673.69 ,$786.14 ,$673.52 
1/31/2020,$650.57 ,15719270,$640 ,$653 ,$632.52 
1/30/2020,$640.81 ,29005680,$632.42 ,$650.88 ,$618 
1/29/2020,$580.99 ,18216670,$575.69 ,$589.80 ,$567.43 
1/28/2020,$566.90 ,11788490,$568.49 ,$576.81 ,$558.08 
1/27/2020,$558.02 ,13608070,$541.99 ,$564.44 ,$539.28 
1/24/2020,$564.82 ,14353600,$570.63 ,$573.86 ,$554.26 
1/23/2020,$572.20 ,19651040,$564.25 ,$582 ,$555.60 
1/22/2020,$569.56 ,31369030,$571.89 ,$594.50 ,$559.10 
1/21/2020,$547.20 ,17803470,$530.25 ,$548.58 ,$528.41 
1/17/2020,$510.50 ,13629070,$507.61 ,$515.67 ,$503.16 
1/16/2020,$513.49 ,21736650,$493.75 ,$514.46 ,$492.17 
1/15/2020,$518.50 ,17368830,$529.76 ,$537.84 ,$516.79 
1/14/2020,$537.92 ,29061380,$544.26 ,$547.41 ,$524.90 
1/13/2020,$524.86 ,26634550,$493.50 ,$525.63 ,$492 
1/10/2020,$478.15 ,12976830,$481.79 ,$484.94 ,$473.70 
1/9/2020,$481.34 ,28463190,$497.10 ,$498.80 ,$472.87 
1/8/2020,$492.14 ,31199390,$473.70 ,$498.49 ,$468.23 
1/7/2020,$469.06 ,18209140,$461.40 ,$471.63 ,$453.36 
1/6/2020,$451.54 ,10157500,$440.47 ,$451.56 ,$440 
1/3/2020,$443.01 ,17794700,$440.50 ,$454 ,$436.92 
1/2/2020,$430.26 ,9558386,$424.50 ,$430.70 ,$421.71 
12/31/2019,$418.33 ,10292460,$405 ,$421.29 ,$402.08 
12/30/2019,$414.70 ,12601270,$428.79 ,$429 ,$409.26 
